#ID,DBID,RAJ2000,DECJ2000,Disc HJD-2450000,Disc I mag,ATEL #,phot. class,prob.,spec. type,z,ATEL spec. #,Offset (arcsec),Offset (kpc),Offset* (arcsec),RSer (arcsec),WISE,comment
13-SN-124,MBR201.19.51N,3:08:52.84,69:25:09.7,6622.68027,20.22,5608,Ia,0.90,Ia,0.13,5615,(29.6),,,,,Ia 
13-SN-125,LMC621.26.1477N,4:30:02.84,63:11:29.9,6622.74714,19.94,5608,Ia,0.90,,,,12.53,,12.53,2.75,S,Ia 
13-SN-126,LMC620.18.111N,4:19:47.17,63:43:21.6,6622.74502,19.15,5608,Ia,1.00,Ia,0.06,5615,,,,,,Ia 
13-SN-127,MBR203.11.294,3:05:57.62,67:08:18.5,6622.68470,20.74,5608,Ia,0.94,,,,1.02,,1.02,1.41,S,Ia 
13-SN-128,LMC636.05.3425,4:59:42.75,75:18:04.8,6623.79520,19.24,5608,IIp,0.48,,,,2.09,,2.45,3.95,S,Unknown/IIP 
13-SN-129,SMC787.06.77N,0:16:41.97,66:16:07.4,6625.56369,19.45,5663,Ia,0.99,Ia,0.08,5622,11.54,17.20,11.81,4.92,S,Ia 
13-SN-130,LMC615.28.29N,6:36:46.99,68:52:22.4,6627.85385,19.65,5663,IIp,0.48,Ia-pec,0.09,5620,,,,,S,Ia-pec 
13-SN-131,MBR149.05.146N,1:43:36.96,66:50:39.7,6629.62253,19.48,5663,Ia,0.90,,,,4.03,4.62,5.82,4.82,S,Unknown 
13-SN-132,LMC612.26.1546N,6:34:30.72,70:40:00.3,6635.81133,19.69,5663,Ia,1.00,,,,5.53,,5.54,3.45,S,Ia 
13-SN-133,LMC560.22.309N,5:57:43.83,69:50:06.2,6636.81928,19.43,5663,IIp,0.90,,,,,,,,S,IIp 
13-SN-134,LMC565.24.54N,6:13:58.04,72:58:24.9,6636.81237,18.85,5663,Ia,0.90,Ic-pec,0.039,5696,,,,,S,Ic-pec 
13-SN-135,MBR168.20.211N,3:06:48.20,77:24:28.4,6636.60643,19.22,5663,IIp,0.92,II,0.057,5718,3.46,3.77,3.52,3.08,S,IIP 
13-SN-136,LMC582.05.55N,4:55:46.85,64:51:20.4,6639.75154,19.33,5663,Ia,1.00,Ia,0.080,5696,4.42,6.60,10.70,8.99,S,Ia 
13-SN-137,MBR108.05.107N,2:03:34.72,73:36:22.7,6639.60394,19.14,5663,IIp,0.48,IIn,0.075,5686,5.85,8.23,6.73,6.49,S,IIn 
13-SN-138,SMC729.32.3036N,1:19:02.87,68:13:14.7,6638.56148,18.59,5663,IIn,0.94,IIn,0.115,5683,,,,,S,IIn 
13-SN-139,LMC677.15.55N,8:09:25.36,70:37:59.3,6640.84276,20.07,5663,Ia,1.00,,,,3.38,,3.39,2.26,S,Ia 
13-SN-140,LMC636.21.5988,5:02:52.42,74:40:11.3,6639.71997,20.20,5663,IIp,0.70,,,,0.01,,0.01,0.43,,Ia 
13-NOVA-03,MBR115.04.1856,2:26:43.16,76:34:37.8,6637.60535,17.15,,CN,0.80,,,,,,,,,CN 
13-SN-141,MBR171.15.67,3:16:00.60,77:05:38.5,6640.62861,18.96,5663,Ia,0.90,Ia,0.05,5696,0.09,0.08,0.23,5.05,S,Ia 
13-SN-142,MBR162.24.72N,2:10:37.64,78:01:50.2,6640.58723,19.34,5697,Ia,0.90,,,,3.87,,4.58,4.62,S,Ia 
13-SN-143,LMC657.11.2388,6:37:30.46,76:45:00.1,6645.76906,20.56,5697,Ia,0.88,,,,1.60,,1.63,1.80,S,Ia 
13-SN-144,LMC511.15.104N,5:00:57.18,67:44:25.7,6647.74442,18.76,5697,Ia,1.00,II,0.04,5696,,,,,S,IIP/IIL 
13-SN-145,LMC547.20.284N,4:30:38.05,67:54:31.2,6647.70245,19.80,5697,Ia,0.80,,,,9.17,,9.22,3.50,S,unknown 
13-SN-146,LMC548.11.58N,4:33:00.74,67:05:21.5,6647.70467,18.69,5697,Ia,1.00,,,,,,,,S,Ia 
13-SN-147,LMC563.07.67N,5:48:57.86,66:40:15.7,6649.78517,19.06,5697,IIp,0.48,Ia-pec,0.099,5689,0.08,0.14,0.09,6.57,S,Ia-pec 
13-SN-148,LMC658.10.39N,6:38:06.94,75:43:36.6,6652.70473,19.78,5697,Ia,1.00,Ia,0.043,5701,,,,,S,Ia 
13-SN-149,LMC708.12.33N,5:27:36.13,54:04:25.2,6653.59944,20.02,5709,Ia,1.00,II,0.079,5720,6.34,9.34,6.38,4.58,S,IIn 
13-SN-150,LMC504.30.333N,5:17:28.40,67:33:29.7,6654.76446,20.15,5709,Ia,0.90,,,,,,,,Ell,Ia 
13-SN-151,LMC517.28.304N,5:34:24.69,68:10:07.8,6654.77073,20.08,5709,IIp,0.92,,,,,,,,S,Ia 
13-SN-152,MBR134.03.729N,3:33:38.89,75:21:16.8,6656.64804,19.20,5709,Ia,0.90,,,,,,,,S,IIp 
13-SN-153,SMC792.28.83N,0:34:37.69,64:42:10.1,6656.53603,18.75,5709,Ia,1.00,,,,2.43,,3.61,3.21,S,Ia 
13-SN-154,LMC654.04.36N,6:14:28.06,75:23:53.3,6657.67448,20.49,5709,IIn,0.51,,,,0.13,,0.13,1.11,S,unknown 
13-SN-155,LMC669.10.39N,7:35:27.88,71:15:07.1,6657.84450,20.45,5709,Ia,0.71,,,,2.38,,2.40,2.06,,IIp or IIn 
13-SN-156,LMC583.15.1914,4:54:08.66,63:15:37.1,6657.80890,20.31,5709,Ia,0.90,Ia,0.14,5716,0.03,0.08,0.07,1.73,S,Ia 
14-SN-001,LMC664.05.78N,7:02:35.58,72:48:15.9,6659.75454,19.07,5817,Ia,0.32,CV,0,5718,,,,,S,DN 
14-SN-002,MBR231.04.42N,4:04:31.71,63:50:15.6,6660.72357,19.53,5817,Ia,0.90,Ia,0.10,5748,2.75,5.01,3.34,4.90,S,Ia 
14-SN-003,MBR108.19.69N,2:09:59.06,73:02:11.8,6664.62577,19.10,5817,IIp,0.48,,,,3.23,,3.73,2.34,S,unknown 
14-SN-004,LMC549.18.139N,4:38:36.94,65:31:29.8,6668.76158,18.79,5817,IIp,0.92,IIP,0.03,5912,6.08,3.60,6.12,6.28,S,IIP 
14-SN-005,LMC665.32.967,7:12:06.72,70:07:13.2,6682.73417,21.60,5817,Ia,0.97,,,,0.21,,0.25,6.82,S,unknown 
14-SN-006,LMC671.21.46N,7:45:41.68,70:18:58.4,6682.74720,19.87,5817,IIp,1.00,,,,0.07,,0.10,1.84,S,IIp 
14-SN-007,MBR117.07.95N,2:29:31.88,72:14:03.7,6690.54118,19.04,5875,Ia,0.99,,,,(1.8),,,,,unknown 
14-SN-008,LMC578.23.56N,5:05:52.96,63:44:54.4,6693.70282,19.52,5875,Ia,1.00,,,,10.59,,10.63,3.75,AGN,unknown 
14-SN-009,LMC708.18.143N,5:29:53.65,53:53:16.6,6694.74193,19.57,5875,Ia,1.00,II,0.056,5864,1.46,1.57,1.55,6.28,S,Unknown 
14-SN-010,LMC614.07.2860,6:25:23.80,68:34:20.3,6694.77028,18.95,5875,Ia,1.00,Ia,0.081,5864,0.08,0.12,0.08,0.99,,Ia 
14-SN-011,LMC659.30.53N,6:46:58.87,69:57:24.8,6695.72994,19.89,5875,IIp,0.70,IIn,0.083,5908,0.81,1.25,1.34,1.72,S,IIn 
14-SN-012,LMC668.31.940N,7:27:43.39,69:20:35.0,6695.74927,20.24,5875,IIn,0.51,,,,,,,,,Unknown/IIP 
14-SN-013,LMC673.32.2006N,7:40:35.37,72:28:17.1,6695.76024,20.17,5875,Ia,1.00,,,,,,,,,Ia 
14-SN-014,LMC522.21.92N,4:27:23.75,74:42:11.1,6698.66286,18.91,5875,IIp,0.90,Ib,0.05,5891,6.17,5.96,6.43,5.60,S,Ib-unknown 
14-SN-015,LMC610.19.3006,6:25:23.80,68:34:20.3,6700.70514,18.98,5916,Ia,1.00,,,,,,,,,Ia 
14-SN-016,LMC673.31.1107N,7:42:01.43,72:29:41.4,6706.74447,19.41,5916,Ia,1.00,Ia,0.07,5908,,,,,S,Ia 
14-SN-017,MBR218.07.74N,3:30:32.38,63:43:16.1,6709.61149,19.07,5916,Ia,1.00,,,,,,,,AGN,Ia 
14-SN-018,LMC608.19.61N,6:18:20.35,66:01:08.0,6710.70753,18.37,5916,IIn,0.67,II,0.03,5915,,,,,S,IIP 
14-SN-019,LMC609.07.75N,6:13:48.04,67:55:15.0,6710.70958,17.41,5916,Ia,1.00,Ia,0.04,5915,0.52,0.41,0.67,7.41,Ell,Ia 
14-SN-020,LMC577.21.2359,6:24:30.22,73:58:10.6,6710.63295,20.27,5916,IIp,0.70,II,0.076,5934,0.04,0.06,0.09,0.82,S,IIP 
14-SN-021,LMC555.18.230N,5:48:23.49,66:47:29.7,6712.66078,17.92,5916,Ia,1.00,Ia,0.039,5919,2.80,2.14,3.20,2.21,S,Ia 
14-SN-022,MBR145.13.195N,4:03:27.76,72:11:27.0,6728.57155,17.10,,IIn,0.67,IIn,0.024,5934,7.13,3.40,7.38,4.83,S,IIn 
14-SN-023,LMC680.22.414N,8:26:16.27,69:52:21.5,6715.73155,18.98,,DN,1.00,CV,0,5937,,,,,,DN 
14-SN-024,LMC647.02.50N,6:01:15.38,78:18:21.7,6719.64051,19.69,,IIp,0.48,Ia,0.1,5938,,,,,S,Ia 
14-SN-025,LMC689.24.78N,5:07:07.33,54:57:24.6,6721.58127,20.34,,Ia,1.00,,,,1.55,,2.10,2.74,S,Ia 
14-SN-026,LMC697.18.174N,5:22:13.47,56:46:47.6,6721.55699,20.10,,IIp,0.70,,,,2.13,,2.37,5.15,S,IIp 
14-SN-027,MBR164.04.58N,2:41:49.91,78:24:41.8,6728.51211,18.62,,IIn,0.41,,,,0.94,,0.94,2.41,S,unknown 
14-SN-028,LMC635.01.33N,5:09:42.76,76:41:29.6,6734.55975,20.17,,,,,,,0.40,,0.46,2.58,Ell, 
14-NOVA-01,BLG643.22.8N,17:55:20.27,23:23:54.5,6735.89972,16.29,,,,,,,,,,,, 
